temperature,method,iteration,regret_mean,regret_std,best_obj_mean,best_obj_se
1.0,Uniform Random,0,0.6411276332911848,0.2035174741880947,1.3828723667088152,0.02035174741880947
1.0,Uniform Random,1,0.6086841251450545,0.18851649086311917,1.4153158748549455,0.018851649086311918
1.0,Uniform Random,2,0.5913416456668913,0.1804652534575263,1.4326583543331086,0.01804652534575263
1.0,Uniform Random,3,0.5818453579889541,0.1828381988482833,1.442154642011046,0.018283819884828332
1.0,Uniform Random,4,0.5559475618695451,0.17148854449504033,1.468052438130455,0.017148854449504033
1.0,Uniform Random,5,0.542983500361403,0.158266984241661,1.481016499638597,0.015826698424166098
1.0,Uniform Random,6,0.528143819346482,0.15062499122656386,1.495856180653518,0.015062499122656387
1.0,Uniform Random,7,0.5213409290334847,0.14724363543206367,1.5026590709665153,0.014724363543206368
1.0,Uniform Random,8,0.5134086195673772,0.1399602902875536,1.510591380432623,0.013996029028755361
1.0,Uniform Random,9,0.5075325343262463,0.13877200158253922,1.5164674656737538,0.013877200158253921
1.0,Uniform Random,10,0.5044476175373651,0.13736444653266236,1.519552382462635,0.013736444653266237
1.0,Gaussian Random,0,0.6411276332911848,0.2035174741880947,1.3828723667088152,0.02035174741880947
1.0,Gaussian Random,1,0.5558265782373951,0.15526823219963093,1.468173421762605,0.015526823219963093
1.0,Gaussian Random,2,0.5138638756872714,0.12737010355168366,1.5101361243127287,0.012737010355168365
1.0,Gaussian Random,3,0.5002831050694619,0.11617271592743929,1.523716894930538,0.011617271592743929
1.0,Gaussian Random,4,0.48716468533024637,0.11107870162571751,1.5368353146697538,0.01110787016257175
1.0,Gaussian Random,5,0.47309506593717543,0.09882953377030021,1.5509049340628245,0.009882953377030022
1.0,Gaussian Random,6,0.46046314226825247,0.08787565983734878,1.5635368577317474,0.008787565983734879
1.0,Gaussian Random,7,0.4532006154098945,0.08345078394093643,1.5707993845901056,0.008345078394093642
1.0,Gaussian Random,8,0.44912293660971647,0.0774654649808725,1.5748770633902835,0.00774654649808725
1.0,Gaussian Random,9,0.44654764733831703,0.07479251666636871,1.577452352661683,0.007479251666636872
1.0,Gaussian Random,10,0.4422243524301738,0.07224427579333613,1.5817756475698261,0.007224427579333613
1.0,CBO (no CPC),0,0.6411276332911848,0.2035174741880947,1.3828723667088152,0.02035174741880947
1.0,CBO (no CPC),1,0.594755039348315,0.18349187460163008,1.429244960651685,0.018349187460163008
1.0,CBO (no CPC),2,0.5383742658279749,0.14342209500025468,1.4856257341720251,0.014342209500025469
1.0,CBO (no CPC),3,0.5060205491005092,0.11945004084500441,1.5179794508994908,0.01194500408450044
1.0,CBO (no CPC),4,0.4829213731114792,0.11031816660288063,1.5410786268885208,0.011031816660288064
1.0,CBO (no CPC),5,0.467764581612499,0.09751413769916634,1.5562354183875011,0.009751413769916634
1.0,CBO (no CPC),6,0.44726355878727936,0.08426312496704275,1.5767364412127207,0.008426312496704275
1.0,CBO (no CPC),7,0.4244207977864692,0.0822630313290989,1.599579202213531,0.00822630313290989
1.0,CBO (no CPC),8,0.41595733625859826,0.07461219265906031,1.6080426637414018,0.007461219265906031
1.0,CBO (no CPC),9,0.40417544878054473,0.06520122926244568,1.6198245512194553,0.006520122926244568
1.0,CBO (no CPC),10,0.3994091380200031,0.06264383423686427,1.624590861979997,0.006264383423686427
1.0,"CPC+CBO,alpha=0.4",0,0.6411276332911848,0.2035174741880947,1.3828723667088152,0.02035174741880947
1.0,"CPC+CBO,alpha=0.4",1,0.5748890276893369,0.1717458406432132,1.4491109723106632,0.01717458406432132
1.0,"CPC+CBO,alpha=0.4",2,0.5314562932485911,0.14269518191343503,1.492543706751409,0.014269518191343502
1.0,"CPC+CBO,alpha=0.4",3,0.49804299662678625,0.11514133806434336,1.5259570033732137,0.011514133806434335
1.0,"CPC+CBO,alpha=0.4",4,0.46383222303349486,0.09232093750186297,1.5601677769665052,0.009232093750186297
1.0,"CPC+CBO,alpha=0.4",5,0.43751666400658373,0.07762706423047301,1.5864833359934163,0.0077627064230473015
1.0,"CPC+CBO,alpha=0.4",6,0.4256006850576586,0.06946595318753085,1.5983993149423414,0.0069465953187530845
1.0,"CPC+CBO,alpha=0.4",7,0.41603941911266773,0.057145178853127816,1.6079605808873323,0.005714517885312782
1.0,"CPC+CBO,alpha=0.4",8,0.4087558567062883,0.05082424086024282,1.6152441432937117,0.005082424086024282
1.0,"CPC+CBO,alpha=0.4",9,0.3998240612637138,0.04618582721127398,1.6241759387362862,0.004618582721127399
1.0,"CPC+CBO,alpha=0.4",10,0.39674428871916534,0.045470052597840406,1.6272557112808346,0.00454700525978404
