temperature,method,iteration,violations_per_round_mean,violations_per_round_std,violations_per_round_se
2.0,Uniform Random,0,0.6575,0.23889066536807166,0.023889066536807165
2.0,Uniform Random,1,0.6025,0.2624285617077531,0.02624285617077531
2.0,Uniform Random,2,0.6625,0.2381569860407207,0.02381569860407207
2.0,Uniform Random,3,0.6075,0.2378418592258309,0.02378418592258309
2.0,Uniform Random,4,0.645,0.26967573120323596,0.026967573120323596
2.0,Uniform Random,5,0.665,0.22972810015320277,0.022972810015320276
2.0,Uniform Random,6,0.67,0.2260530911091464,0.02260530911091464
2.0,Uniform Random,7,0.6625,0.23551804601770968,0.02355180460177097
2.0,Uniform Random,8,0.6625,0.2218529918662356,0.022185299186623562
2.0,Uniform Random,9,0.6425,0.23252688016657339,0.02325268801665734
2.0,Gaussian Random,0,0.2025,0.18606114586339617,0.018606114586339616
2.0,Gaussian Random,1,0.165,0.17399712641305323,0.017399712641305323
2.0,Gaussian Random,2,0.18,0.20334699407662754,0.020334699407662755
2.0,Gaussian Random,3,0.1825,0.19318061496951489,0.019318061496951488
2.0,Gaussian Random,4,0.18,0.183983694929741,0.0183983694929741
2.0,Gaussian Random,5,0.185,0.19241881404893857,0.019241881404893857
2.0,Gaussian Random,6,0.2175,0.2140531476059159,0.02140531476059159
2.0,Gaussian Random,7,0.1925,0.19954636052807387,0.019954636052807388
2.0,Gaussian Random,8,0.1875,0.1948557158514987,0.01948557158514987
2.0,Gaussian Random,9,0.15,0.17677669529663675,0.017677669529663674
2.0,CBO (no CPC),0,0.4925,0.2946502163583119,0.02946502163583119
2.0,CBO (no CPC),1,0.53,0.25317977802344316,0.025317977802344314
2.0,CBO (no CPC),2,0.5125,0.2558686186307341,0.025586861863073414
2.0,CBO (no CPC),3,0.475,0.2537222891273055,0.025372228912730548
2.0,CBO (no CPC),4,0.4975,0.2883032257884049,0.028830322578840488
2.0,CBO (no CPC),5,0.5725,0.26290445032368703,0.026290445032368704
2.0,CBO (no CPC),6,0.54,0.28661821295933027,0.028661821295933025
2.0,CBO (no CPC),7,0.5475,0.2993639089803579,0.029936390898035792
2.0,CBO (no CPC),8,0.55,0.27838821814150116,0.027838821814150115
2.0,CBO (no CPC),9,0.575,0.2772634126602355,0.027726341266023552
2.0,"CPC+CBO,alpha=0.4",0,0.32,0.26000000000000006,0.026000000000000006
2.0,"CPC+CBO,alpha=0.4",1,0.34,0.28178005607210727,0.028178005607210725
2.0,"CPC+CBO,alpha=0.4",2,0.3025,0.22162750280594687,0.02216275028059469
2.0,"CPC+CBO,alpha=0.4",3,0.2925,0.2623332803896598,0.02623332803896598
2.0,"CPC+CBO,alpha=0.4",4,0.28,0.2699073915253155,0.02699073915253155
2.0,"CPC+CBO,alpha=0.4",5,0.3125,0.24076700355322778,0.024076700355322778
2.0,"CPC+CBO,alpha=0.4",6,0.3525,0.2266467515761037,0.02266467515761037
2.0,"CPC+CBO,alpha=0.4",7,0.3475,0.2666809891987056,0.02666809891987056
2.0,"CPC+CBO,alpha=0.4",8,0.3175,0.27123559869604136,0.027123559869604137
2.0,"CPC+CBO,alpha=0.4",9,0.3525,0.26242856170775314,0.026242856170775312
