temperature,method,iteration,violations_per_round_mean,violations_per_round_std,violations_per_round_se
0.1,Uniform Random,0,0.625,0.2410912690248239,0.02410912690248239
0.1,Uniform Random,1,0.68,0.22383029285599398,0.022383029285599397
0.1,Uniform Random,2,0.6425,0.2351993835025933,0.023519938350259333
0.1,Uniform Random,3,0.6525,0.2176436307361189,0.02176436307361189
0.1,Uniform Random,4,0.6525,0.2204965986132213,0.02204965986132213
0.1,Uniform Random,5,0.6475,0.2451912518830964,0.02451912518830964
0.1,Uniform Random,6,0.63,0.2331308645374953,0.023313086453749528
0.1,Uniform Random,7,0.6525,0.22884219453588547,0.022884219453588546
0.1,Uniform Random,8,0.695,0.21960191255997763,0.02196019125599776
0.1,Uniform Random,9,0.65,0.22912878474779189,0.02291287847477919
0.1,Gaussian Random,0,0.2075,0.1970247446388396,0.01970247446388396
0.1,Gaussian Random,1,0.155,0.19615045245933022,0.01961504524593302
0.1,Gaussian Random,2,0.1675,0.19382659776202033,0.019382659776202033
0.1,Gaussian Random,3,0.175,0.17853571071357144,0.017853571071357145
0.1,Gaussian Random,4,0.1875,0.22465250944514287,0.022465250944514285
0.1,Gaussian Random,5,0.1725,0.1826711526213157,0.01826711526213157
0.1,Gaussian Random,6,0.1725,0.1826711526213157,0.01826711526213157
0.1,Gaussian Random,7,0.1875,0.21323402636539976,0.021323402636539975
0.1,Gaussian Random,8,0.19,0.18411952639521964,0.018411952639521965
0.1,Gaussian Random,9,0.1775,0.21299941314473145,0.021299941314473145
0.1,CBO (no CPC),0,0.3,0.40773766075750223,0.04077376607575022
0.1,CBO (no CPC),1,0.3225,0.4172753886823425,0.04172753886823425
0.1,CBO (no CPC),2,0.275,0.3699662146737186,0.03699662146737186
0.1,CBO (no CPC),3,0.485,0.4341946568072895,0.04341946568072895
0.1,CBO (no CPC),4,0.435,0.4207433897282286,0.04207433897282286
0.1,CBO (no CPC),5,0.4225,0.4340146886915233,0.04340146886915233
0.1,CBO (no CPC),6,0.4925,0.4464512851364638,0.04464512851364638
0.1,CBO (no CPC),7,0.5175,0.4261088475964795,0.04261088475964795
0.1,CBO (no CPC),8,0.5575,0.4342450345139253,0.04342450345139253
0.1,CBO (no CPC),9,0.5925,0.4193074647558757,0.041930746475587574
0.1,"CPC+CBO,alpha=0.4",0,0.09,0.1888120758849922,0.01888120758849922
0.1,"CPC+CBO,alpha=0.4",1,0.33,0.4226109321823087,0.04226109321823087
0.1,"CPC+CBO,alpha=0.4",2,0.16,0.2658006772000401,0.026580067720004007
0.1,"CPC+CBO,alpha=0.4",3,0.195,0.27744368798010177,0.027744368798010177
0.1,"CPC+CBO,alpha=0.4",4,0.2025,0.24416951079117138,0.02441695107911714
0.1,"CPC+CBO,alpha=0.4",5,0.23,0.25903667693977245,0.025903667693977245
0.1,"CPC+CBO,alpha=0.4",6,0.325,0.2839454172900137,0.028394541729001372
0.1,"CPC+CBO,alpha=0.4",7,0.32,0.25758493744782524,0.025758493744782524
0.1,"CPC+CBO,alpha=0.4",8,0.3525,0.24519125188309646,0.024519125188309645
0.1,"CPC+CBO,alpha=0.4",9,0.3375,0.24334902917414736,0.024334902917414736
